City,Month,AQI,Range,Quality level,PM2.5,PM10,CO,SO2,NO2,O3,Unnamed: 11
Beijing,2021-09-01,57.0,25~108,good,18.0,36.0,0.63,3.0,21.0,99.0,
Beijing,2021-10-01,50.0,20~153,good,25.0,43.0,0.471,3.0,30.0,58.0,
Beijing,2021-11-01,75.0,29~193,good,44.0,65.0,0.643,3.0,36.0,42.0,
Beijing,2021-12-01,55.0,28~123,good,27.0,52.0,0.581,3.0,36.0,40.0,
Beijing,2022-01-01,68.0,29~198,good,45.0,52.0,0.742,3.0,34.0,45.0,
Beijing,2022-02-01,47.0,35~84,excellent,22.0,37.0,0.436,3.0,20.0,72.0,
Beijing,2022-03-01,70.0,36~205,good,39.0,72.0,0.526,3.0,27.0,80.0,
Beijing,2022-04-01,74.0,38~128,good,34.0,75.0,0.453,3.0,22.0,115.0,
Beijing,2022-05-01,86.0,36~178,good,21.0,50.0,0.355,3.0,17.0,138.0,
Beijing,2022-06-01,102.0,44~205,light pollution,23.0,46.0,0.563,3.0,14.0,158.0,
Beijing,2022-07-01,86.0,45~161,good,19.0,35.0,0.468,3.0,15.0,142.0,
Beijing,2022-08-01,67.0,26~120,good,19.0,34.0,0.465,3.0,15.0,115.0,
Beijing,2022-09-01,91.0,33~157,good,30.0,62.0,0.51,3.0,24.0,145.0,
Beijing,2022-10-01,65.0,23~142,light pollution,40.0,69.0,0.461,3.0,29.0,67.0,
Beijing,2022-11-01,71.0,,,45.0,75.0,0.55,3.0,32.0,46.0,
Beijing,2022-12-01,57.0,,,21.0,62.0,0.329,2.0,24.0,51.0,
Shanghai,2014-01-01,103.0,30~238,light pollution,77.0,90.0,0.997,28.0,54.0,58.0,
Shanghai,2014-02-01,74.0,27~240,good,52.0,59.0,0.796,17.0,36.0,73.0,
Shanghai,2014-03-01,82.0,39~202,good,57.0,84.0,0.787,19.0,51.0,100.0,
Shanghai,2014-04-01,77.0,50~187,good,53.0,67.0,0.727,15.0,47.0,108.0,
Shanghai,2014-05-01,96.0,53~193,good,63.0,99.0,0.777,17.0,42.0,142.0,
Shanghai,2014-06-01,72.0,37~182,good,44.0,58.0,0.72,12.0,35.0,118.0,
Shanghai,2014-07-01,74.0,32~167,good,45.0,63.0,0.765,12.0,31.0,112.0,
Shanghai,2014-08-01,67.0,30~150,good,38.0,52.0,0.768,13.0,34.0,112.0,
Shanghai,2014-09-01,69.0,32~138,good,35.0,52.0,0.74,13.0,32.0,117.0,
Shanghai,2014-10-01,77.0,52~137,good,40.0,68.0,0.781,16.0,42.0,119.0,
Shanghai,2014-11-01,74.0,38~182,good,52.0,71.0,0.843,18.0,52.0,84.0,
Shanghai,2014-12-01,99.0,39~190,good,72.0,113.0,1.09,36.0,68.0,47.0,
Shanghai,2015-01-01,111.0,28~256,light pollution,83.0,108.0,1.09,29.0,63.0,56.0,
Shanghai,2015-02-01,90.0,34~222,good,64.0,85.0,0.946,20.0,46.0,81.0,
Shanghai,2015-03-01,81.0,37~143,good,54.0,66.0,0.845,15.0,48.0,102.0,
Shanghai,2015-04-01,88.0,44~166,good,56.0,81.0,0.79,16.0,53.0,122.0,
Shanghai,2015-05-01,77.0,51~117,good,44.0,63.0,0.697,12.0,39.0,126.0,
Shanghai,2015-06-01,80.0,43~188,good,43.0,57.0,0.697,11.0,35.0,129.0,
Shanghai,2015-07-01,84.0,31~171,good,39.0,57.0,0.658,11.0,31.0,134.0,
Shanghai,2015-08-01,86.0,28~181,good,40.0,58.0,0.735,13.0,28.0,135.0,
Shanghai,2015-09-01,79.0,35~159,good,34.0,49.0,0.72,13.0,32.0,132.0,
Shanghai,2015-10-01,82.0,47~133,good,47.0,73.0,0.816,17.0,49.0,127.0,
Shanghai,2015-11-01,87.0,35~179,good,58.0,74.0,1.09,17.0,58.0,69.0,
Shanghai,2015-12-01,117.0,53~266,light pollution,82.0,104.0,1.197,25.0,67.0,52.0,
Shanghai,2016-01-01,102.0,40~213,light pollution,70.0,91.0,1.045,24.0,57.0,69.0,
Shanghai,2016-02-01,80.0,42~178,good,54.0,78.0,0.855,19.0,43.0,97.0,
Shanghai,2016-03-01,80.0,45~134,good,52.0,76.0,0.684,17.0,49.0,107.0,
Shanghai,2016-04-01,90.0,53~159,good,56.0,81.0,0.737,14.0,50.0,126.0,
Shanghai,2016-05-01,93.0,51~163,good,51.0,77.0,0.742,12.0,41.0,135.0,
Shanghai,2016-06-01,79.0,43~139,good,40.0,54.0,0.703,10.0,36.0,122.0,
Shanghai,2016-07-01,95.0,24~169,good,38.0,59.0,0.752,10.0,31.0,143.0,
Shanghai,2016-08-01,59.0,26~135,good,19.0,36.0,0.665,11.0,23.0,104.0,
Shanghai,2016-09-01,68.0,23~163,good,32.0,45.0,0.723,12.0,34.0,112.0,
Shanghai,2016-10-01,51.0,29~72,good,22.0,37.0,0.632,12.0,33.0,87.0,
Shanghai,2016-11-01,78.0,37~144,good,44.0,62.0,0.867,16.0,58.0,69.0,
Shanghai,2016-12-01,94.0,38~185,good,58.0,77.0,1.058,19.0,65.0,64.0,
Shanghai,2017-01-01,73.0,34~130,good,45.0,55.0,0.945,17.0,47.0,74.0,
Shanghai,2017-02-01,77.0,38~154,good,50.0,57.0,0.868,14.0,49.0,93.0,
Shanghai,2017-03-01,71.0,47~102,good,44.0,58.0,0.768,12.0,50.0,108.0,
Shanghai,2017-04-01,91.0,53~139,good,45.0,70.0,0.83,12.0,51.0,133.0,
Shanghai,2017-05-01,88.0,42~161,good,28.0,49.0,0.674,11.0,37.0,136.0,
Shanghai,2017-06-01,83.0,46~160,good,38.0,42.0,0.7,9.0,35.0,130.0,
Shanghai,2017-07-01,117.0,33~205,light pollution,33.0,55.0,0.706,10.0,30.0,177.0,
Shanghai,2017-08-01,97.0,25~193,good,31.0,47.0,0.781,8.0,32.0,151.0,
Shanghai,2017-09-01,74.0,44~168,good,26.0,42.0,0.77,9.0,36.0,118.0,
Shanghai,2017-10-01,58.0,36~88,good,24.0,42.0,0.732,9.0,34.0,101.0,
Shanghai,2017-11-01,78.0,38~130,good,41.0,68.0,0.863,13.0,59.0,80.0,
Shanghai,2017-12-01,97.0,48~225,good,54.0,75.0,1.061,15.0,69.0,39.0,
Shanghai,2018-01-01,88.0,32~241,good,57.0,64.0,0.89,13.0,53.0,57.0,
Shanghai,2018-02-01,70.0,36~163,good,44.0,60.0,0.725,12.0,43.0,83.0,
Shanghai,2018-03-01,65.0,38~117,good,39.0,48.0,0.581,11.0,42.0,94.0,
Shanghai,2018-04-01,78.0,0~160,good,38.0,70.0,0.593,12.0,43.0,121.0,
Shanghai,2018-05-01,80.0,38~132,good,41.0,54.0,0.597,10.0,38.0,125.0,
Shanghai,2018-06-01,80.0,38~184,good,32.0,38.0,0.53,9.0,29.0,133.0,
Shanghai,2018-07-01,53.0,20~166,good,19.0,32.0,0.442,8.0,22.0,90.0,
Shanghai,2018-08-01,52.0,27~125,good,15.0,28.0,0.468,6.0,19.0,93.0,
Shanghai,2018-09-01,71.0,26~146,good,24.0,39.0,0.64,7.0,34.0,111.0,
Shanghai,2018-10-01,67.0,43~124,good,25.0,46.0,0.545,8.0,41.0,110.0,
Shanghai,2018-11-01,72.0,42~163,good,40.0,46.0,0.68,7.0,53.0,81.0,
Shanghai,2018-12-01,66.0,36~135,good,36.0,50.0,0.671,8.0,50.0,54.0,
Shanghai,2019-01-01,81.0,34~135,good,49.0,61.0,0.826,9.0,57.0,60.0,
Shanghai,2019-02-01,65.0,36~160,good,41.0,51.0,0.721,6.0,36.0,76.0,
Shanghai,2019-03-01,80.0,46~127,good,51.0,65.0,0.758,7.0,52.0,100.0,
Shanghai,2019-04-01,71.0,43~123,good,40.0,51.0,0.697,6.0,45.0,106.0,
Shanghai,2019-05-01,86.0,36~202,good,33.0,53.0,0.606,7.0,39.0,134.0,
Shanghai,2019-06-01,72.0,36~177,good,29.0,31.0,0.537,5.0,28.0,121.0,
Shanghai,2019-07-01,69.0,25~137,good,26.0,32.0,0.503,5.0,29.0,117.0,
Shanghai,2019-08-01,70.0,23~181,good,24.0,34.0,0.603,6.0,27.0,113.0,
Shanghai,2019-09-01,63.0,28~120,good,21.0,32.0,0.613,6.0,33.0,105.0,
Shanghai,2019-10-01,67.0,20~131,good,31.0,56.0,0.626,8.0,43.0,98.0,
Shanghai,2019-11-01,65.0,33~110,good,27.0,57.0,0.6,8.0,46.0,83.0,
Shanghai,2019-12-01,81.0,34~148,good,50.0,52.0,0.806,9.0,63.0,61.0,
Shanghai,2020-01-01,81.0,35~173,good,54.0,45.0,0.848,7.0,44.0,67.0,
Shanghai,2020-02-01,55.0,30~104,good,33.0,35.0,0.617,6.0,29.0,87.0,
Shanghai,2020-03-01,57.0,37~104,good,27.0,39.0,0.574,6.0,33.0,99.0,
Shanghai,2020-04-01,76.0,45~130,good,33.0,54.0,0.597,7.0,41.0,127.0,
Shanghai,2020-05-01,84.0,38~157,good,39.0,51.0,0.726,7.0,36.0,130.0,
Shanghai,2020-06-01,68.0,30~130,good,30.0,31.0,0.697,6.0,33.0,110.0,
Shanghai,2020-07-01,66.0,29~156,good,27.0,32.0,0.61,5.0,32.0,105.0,
Shanghai,2020-08-01,59.0,27~115,good,20.0,35.0,0.5,6.0,23.0,103.0,
Shanghai,2020-09-01,72.0,33~179,good,25.0,38.0,0.723,6.0,40.0,112.0,
Shanghai,2020-10-01,58.0,37~102,good,19.0,38.0,0.59,7.0,37.0,97.0,
Shanghai,2020-11-01,58.0,34~115,good,27.0,44.0,0.64,7.0,42.0,78.0,
Shanghai,2020-12-01,81.0,34~206,good,47.0,53.0,0.781,7.0,55.0,57.0,
Shanghai,2021-01-01,72.0,45~103,good,39.0,67.0,0.694,8.0,50.0,59.0,
Shanghai,2021-02-01,53.0,34~98,good,29.0,42.0,0.586,6.0,32.0,83.0,
Shanghai,2021-03-01,66.0,38~188,good,33.0,47.0,0.61,5.0,40.0,86.0,
Shanghai,2021-04-01,63.0,42~96,good,31.0,48.0,0.577,5.0,36.0,99.0,
Shanghai,2021-05-01,78.0,40~138,good,30.0,49.0,0.642,5.0,31.0,128.0,
Shanghai,2021-06-01,57.0,29~143,good,22.0,28.0,0.543,5.0,28.0,99.0,
Shanghai,2021-07-01,56.0,21~122,good,17.0,28.0,0.494,5.0,19.0,99.0,
Shanghai,2021-08-01,58.0,24~102,good,17.0,28.0,0.539,5.0,22.0,103.0,
Shanghai,2021-09-01,66.0,17~125,good,19.0,32.0,0.633,5.0,24.0,114.0,
Shanghai,2021-10-01,52.0,29~115,good,17.0,34.0,0.552,5.0,30.0,87.0,
Shanghai,2021-11-01,66.0,34~98,good,32.0,55.0,0.687,6.0,49.0,78.0,
Shanghai,2021-12-01,79.0,32~133,good,43.0,59.0,0.874,7.0,60.0,60.0,
Shanghai,2022-01-01,68.0,35~149,good,42.0,45.0,0.829,5.0,43.0,68.0,
Shanghai,2022-02-01,53.0,36~107,good,30.0,43.0,0.6,5.0,29.0,87.0,
Shanghai,2022-03-01,62.0,32~117,good,29.0,54.0,0.661,6.0,32.0,102.0,
Shanghai,2022-04-01,77.0,36~134,good,23.0,38.0,0.717,7.0,18.0,130.0,
Shanghai,2022-05-01,77.0,39~137,good,21.0,30.0,0.732,6.0,17.0,130.0,
Shanghai,2022-06-01,71.0,30~145,good,20.0,30.0,0.54,4.0,19.0,123.0,
Shanghai,2022-07-01,82.0,21~150,good,22.0,34.0,0.59,4.0,20.0,134.0,
Shanghai,2022-08-01,84.0,38~131,good,18.0,33.0,0.655,5.0,20.0,139.0,
Shanghai,2022-09-01,56.0,21~141,good,16.0,32.0,0.597,5.0,22.0,101.0,
Shanghai,2022-10-01,47.0,30~85,excellent,15.0,33.0,0.61,6.0,26.0,89.0,
Shanghai,2022-11-01,50.0,,,25.0,38.0,0.72,6.0,35.0,73.0,
Shanghai,2022-12-01,65.0,,,33.0,58.0,0.823,8.0,45.0,57.0,
Tianjin,2014-01-01,147.0,26~357,light pollution,113.0,179.0,2.526,113.0,71.0,27.0,
Tianjin,2014-02-01,129.0,31~289,light pollution,96.0,136.0,2.079,100.0,61.0,44.0,
Tianjin,2014-03-01,150.0,57~252,light pollution,112.0,173.0,1.994,69.0,71.0,66.0,
Tianjin,2014-04-01,121.0,64~199,light pollution,85.0,153.0,1.41,35.0,56.0,99.0,
Tianjin,2014-05-01,102.0,44~204,light pollution,70.0,132.0,1.348,29.0,49.0,116.0,
Tianjin,2014-06-01,97.0,47~141,good,58.0,93.0,1.387,21.0,41.0,146.0,
Tianjin,2014-07-01,117.0,63~177,light pollution,76.0,114.0,1.497,22.0,39.0,160.0,
Tianjin,2014-08-01,87.0,48~134,good,57.0,100.0,1.452,20.0,40.0,124.0,
Tianjin,2014-09-01,80.0,37~150,good,56.0,87.0,1.29,21.0,40.0,84.0,
Tianjin,2014-10-01,134.0,42~285,light pollution,99.0,146.0,1.142,19.0,53.0,51.0,
Tianjin,2014-11-01,145.0,50~422,light pollution,111.0,156.0,1.887,52.0,68.0,43.0,
Tianjin,2014-12-01,144.0,43~378,light pollution,107.0,154.0,2.061,76.0,65.0,35.0,
Tianjin,2015-01-01,133.0,36~364,light pollution,100.0,161.0,2.252,76.0,70.0,33.0,
Tianjin,2015-02-01,116.0,42~236,light pollution,80.0,146.0,1.746,60.0,51.0,49.0,
Tianjin,2015-03-01,117.0,54~274,light pollution,72.0,166.0,1.435,37.0,52.0,60.0,
Tianjin,2015-04-01,92.0,39~145,good,64.0,109.0,0.913,15.0,30.0,74.0,
Tianjin,2015-05-01,88.0,40~156,good,51.0,90.0,0.977,14.0,27.0,130.0,
Tianjin,2015-06-01,99.0,32~175,good,59.0,92.0,1.363,15.0,34.0,142.0,
Tianjin,2015-07-01,78.0,46~122,good,49.0,88.0,0.706,7.0,18.0,116.0,
Tianjin,2015-08-01,78.0,44~149,good,50.0,94.0,1.0,11.0,25.0,110.0,
Tianjin,2015-09-01,68.0,27~147,good,44.0,75.0,0.87,13.0,25.0,81.0,
Tianjin,2015-10-01,86.0,37~219,good,54.0,100.0,1.058,17.0,42.0,70.0,
Tianjin,2015-11-01,119.0,35~345,light pollution,88.0,133.0,2.037,36.0,57.0,36.0,
Tianjin,2015-12-01,162.0,28~391,moderately pollution,125.0,189.0,2.058,45.0,66.0,22.0,
Tianjin,2016-01-01,106.0,49~384,light pollution,74.0,124.0,1.565,37.0,58.0,34.0,
Tianjin,2016-02-01,77.0,30~189,good,50.0,85.0,1.317,27.0,42.0,53.0,
Tianjin,2016-03-01,121.0,49~267,light pollution,81.0,148.0,1.516,30.0,54.0,62.0,
Tianjin,2016-04-01,100.0,53~273,light pollution,64.0,128.0,0.993,19.0,43.0,98.0,
Tianjin,2016-05-01,90.0,57~154,good,51.0,93.0,0.942,17.0,42.0,133.0,
Tianjin,2016-06-01,101.0,51~185,light pollution,54.0,77.0,0.997,12.0,36.0,151.0,
Tianjin,2016-07-01,88.0,32~136,good,53.0,71.0,0.858,7.0,28.0,127.0,
Tianjin,2016-08-01,72.0,38~135,good,41.0,65.0,0.855,9.0,31.0,105.0,
Tianjin,2016-09-01,88.0,40~165,good,52.0,83.0,1.243,15.0,42.0,125.0,
Tianjin,2016-10-01,91.0,40~225,good,64.0,90.0,1.426,18.0,51.0,65.0,
Tianjin,2016-11-01,138.0,32~307,light pollution,104.0,150.0,2.023,27.0,66.0,38.0,
Tianjin,2016-12-01,175.0,60~340,moderately pollution,135.0,177.0,2.739,35.0,84.0,32.0,
Tianjin,2017-01-01,142.0,39~330,light pollution,109.0,127.0,2.439,31.0,67.0,44.0,
Tianjin,2017-02-01,118.0,43~281,light pollution,85.0,115.0,1.664,28.0,64.0,73.0,
Tianjin,2017-03-01,100.0,43~251,light pollution,70.0,106.0,1.352,24.0,64.0,100.0,
Tianjin,2017-04-01,98.0,57~172,good,64.0,125.0,1.21,19.0,57.0,115.0,
Tianjin,2017-05-01,139.0,51~500,light pollution,41.0,91.0,0.981,12.0,40.0,158.0,
Tianjin,2017-06-01,115.0,49~177,light pollution,46.0,78.0,1.057,10.0,37.0,173.0,
Tianjin,2017-07-01,104.0,44~188,light pollution,52.0,72.0,1.148,6.0,30.0,156.0,
Tianjin,2017-08-01,90.0,38~155,good,37.0,55.0,1.139,8.0,31.0,144.0,
Tianjin,2017-09-01,102.0,41~158,light pollution,54.0,90.0,1.22,13.0,39.0,154.0,
Tianjin,2017-10-01,90.0,33~247,good,62.0,74.0,1.355,12.0,54.0,66.0,
Tianjin,2017-11-01,87.0,40~201,good,53.0,86.0,1.21,14.0,58.0,46.0,
Tianjin,2017-12-01,108.0,40~303,light pollution,69.0,100.0,1.616,18.0,62.0,24.0,
Tianjin,2018-01-01,82.0,29~190,good,53.0,84.0,1.242,17.0,51.0,43.0,
Tianjin,2018-02-01,88.0,0~189,good,60.0,85.0,1.093,15.0,39.0,70.0,
Tianjin,2018-03-01,108.0,0~322,light pollution,75.0,100.0,1.09,14.0,54.0,86.0,
Tianjin,2018-04-01,88.0,0~213,good,44.0,98.0,0.817,9.0,41.0,119.0,
Tianjin,2018-05-01,80.0,0~146,good,38.0,75.0,0.826,8.0,38.0,137.0,
Tianjin,2018-06-01,121.0,53~189,light pollution,40.0,69.0,0.85,7.0,29.0,182.0,
Tianjin,2018-07-01,89.0,32~151,good,38.0,51.0,0.835,5.0,24.0,141.0,
Tianjin,2018-08-01,97.0,24~200,good,29.0,49.0,0.994,6.0,29.0,148.0,
Tianjin,2018-09-01,68.0,38~116,good,30.0,54.0,0.787,9.0,37.0,106.0,
Tianjin,2018-10-01,80.0,35~152,good,44.0,71.0,0.926,12.0,54.0,82.0,
Tianjin,2018-11-01,112.0,0~305,light pollution,79.0,98.0,1.31,16.0,64.0,46.0,
Tianjin,2018-12-01,86.0,0~293,good,53.0,91.0,1.119,16.0,56.0,37.0,
Tianjin,2019-01-01,114.0,40~298,light pollution,81.0,112.0,1.426,19.0,62.0,42.0,
Tianjin,2019-02-01,110.0,33~287,light pollution,78.0,105.0,1.221,14.0,45.0,69.0,
Tianjin,2019-03-01,85.0,39~189,good,54.0,84.0,0.865,11.0,45.0,94.0,
Tianjin,2019-04-01,90.0,43~282,good,49.0,95.0,0.793,11.0,38.0,112.0,
Tianjin,2019-05-01,103.0,52~204,light pollution,41.0,88.0,0.648,11.0,33.0,156.0,
Tianjin,2019-06-01,127.0,37~202,light pollution,42.0,65.0,0.857,9.0,29.0,184.0,
Tianjin,2019-07-01,121.0,46~191,light pollution,41.0,54.0,0.89,6.0,23.0,181.0,
Tianjin,2019-08-01,79.0,28~160,good,26.0,44.0,0.806,6.0,29.0,129.0,
Tianjin,2019-09-01,103.0,43~186,light pollution,41.0,71.0,0.92,11.0,41.0,153.0,
Tianjin,2019-10-01,88.0,36~193,good,50.0,82.0,0.877,10.0,48.0,78.0,
